A8,B8,C8,D8,E8,F8,G8,H8,A7,B7,C7,D7,E7,F7,G7,H7,A6,B6,C6,D6,E6,F6,G6,H6,A5,B5,C5,D5,E5,F5,G5,H5,A4,B4,C4,D4,E4,F4,G4,H4,A3,B3,C3,D3,E3,F3,G3,H3,A2,B2,C2,D2,E2,F2,G2,H2,A1,B1,C1,D1,E1,F1,G1,H1,Active Player,White Kingside Castling Right,White Queenside Castling Right,Black Kingside Castling Right,Black Queenside Castling Right,En passant Target,Halfmove Clock,Fullmove Number,Who is winning
0.666666667,0.333333333,0.75,1,1,0.9,0.6,1,0.166666667,0.333333333,0.583333333,0.636363636,0.7,0.583333333,0.583333333,1,0,0.6,0.545454545,0.5,0.5,1,0.5,0.142857143,0.625,0,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.454545455,0,0.5,0.666666667,0.666666667,0.5,0.5,0.666666667,0.5,0.75,0.454545455,0.5,0.5,0.5,0.5,0.416666667,0.714285714,0.416666667,0.555555556,0.3,0.3,0.416666667,0.416666667,0.333333333,0.333333333,0.5,0.083333333,0,0,0.333333333,0.166666667,0,1,1,1,1,0,0.011363636,0,0.394425353
0.666666667,0.333333333,0.75,1,1,0.9,0.6,1,0.166666667,0.333333333,0.583333333,0.636363636,0.7,0.583333333,0.583333333,1,0,0.6,0.545454545,0.5,0.5,1,0.5,0.142857143,0.625,0,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.363636364,0,0.5,0.666666667,0.666666667,0.5,0.5,0.666666667,0.5,0.75,0.454545455,0.5,0.5,0.5,0.5,0.416666667,0.857142857,0.416666667,0.555555556,0.3,0.3,0.416666667,0.416666667,0.333333333,0.333333333,0.5,0.083333333,0,0,0.333333333,0.166666667,1,1,1,1,1,0.893617021,0,0.004219409,0.41657121
0.666666667,0.333333333,0.75,1,1,0.9,0.6,1,0.166666667,0.333333333,0.583333333,0.545454545,0.7,0.583333333,0.583333333,1,0,0.6,0.545454545,0.583333333,0.5,1,0.5,0.142857143,0.625,0,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.363636364,0,0.5,0.666666667,0.666666667,0.5,0.5,0.666666667,0.5,0.75,0.454545455,0.5,0.5,0.5,0.5,0.416666667,0.857142857,0.416666667,0.555555556,0.3,0.3,0.416666667,0.416666667,0.333333333,0.333333333,0.5,0.083333333,0,0,0.333333333,0.166666667,0,1,1,1,1,0,0,0.004219409,0.39862543
0.666666667,0.333333333,0.75,1,1,0.9,0.6,1,0.166666667,0.333333333,0.583333333,0.545454545,0.7,0.583333333,0.583333333,1,0,0.6,0.545454545,0.583333333,0.5,1,0.5,0.142857143,0.625,0,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.363636364,0,0.5,0.666666667,0.666666667,0.5,0.5,0.666666667,0.5,0.75,0.454545455,0.5,0.5,0.5,0.416666667,0.416666667,0.857142857,0.416666667,0.555555556,0.3,0.3,0.416666667,0.5,0.333333333,0.333333333,0.5,0.083333333,0,0,0.333333333,0.166666667,1,1,1,1,1,0,0,0.008438819,0.411989309
0.666666667,0.333333333,0.75,1,1,0.9,1,0,0.166666667,0.333333333,0.583333333,0.545454545,0.7,0.583333333,0.583333333,1,0,0.6,0.545454545,0.583333333,0.5,1,0.5,0.142857143,0.625,0,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.363636364,0,0.5,0.666666667,0.666666667,0.5,0.5,0.666666667,0.5,0.75,0.454545455,0.5,0.5,0.5,0.416666667,0.416666667,0.857142857,0.416666667,0.555555556,0.3,0.3,0.416666667,0.5,0.333333333,0.333333333,0.5,0.083333333,0,0,0.333333333,0.166666667,0,0,1,1,1,0,0.011363636,0.008438819,0.373806796
0.666666667,0.333333333,0.75,1,1,0.9,1,0,0.166666667,0.333333333,0.583333333,0.545454545,0.7,0.583333333,0.583333333,1,0,0.6,0.545454545,0.583333333,0.5,1,0.5,0.142857143,0.625,0,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.363636364,0,0.5,0.666666667,0.666666667,0.5,0.5,0.555555556,0.5,0.75,0.454545455,0.5,0.5,0.5,0.416666667,0.5,0.857142857,0.416666667,0.555555556,0.3,0.3,0.416666667,0.5,0.333333333,0.333333333,0.5,0.083333333,0,0,0.333333333,0.166666667,1,0,1,1,1,0,0,0.012658228,0.381825124
0.666666667,0.333333333,0.75,1,1,0.9,1,0,0.166666667,0.333333333,0.583333333,0.727272727,0.7,0.583333333,0.583333333,1,0,0.6,0.545454545,0.583333333,0.5,0.75,0.5,0.142857143,0.625,0,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.363636364,0,0.5,0.666666667,0.666666667,0.5,0.5,0.555555556,0.5,0.75,0.454545455,0.5,0.5,0.5,0.416666667,0.5,0.857142857,0.416666667,0.555555556,0.3,0.3,0.416666667,0.5,0.333333333,0.333333333,0.5,0.083333333,0,0,0.333333333,0.166666667,0,0,1,1,1,0,0.011363636,0.012658228,0.358151966
0,0,0.75,1,1,0.9,0.6,1,0,0.333333333,0.5,0.727272727,0.7,0.583333333,0.583333333,1,0,1,0.545454545,0.583333333,0.5,0.75,0.5,0.142857143,0.625,0.333333333,0.5,0.5,0.5,0.5,0.5,0.416666667,0,0.454545455,0.166666667,0.416666667,0.444444444,0.666666667,0.5,0.5,0.333333333,0.5,0.75,0.454545455,0.5,0.5,0.5,0.5,0.166666667,0.857142857,0.583333333,0,0.3,0.3,0.416666667,0.166666667,1,0.5,1,0.083333333,1,0,0.333333333,0.5,0,0,0,0,0,0,0.056818182,0.063291139,0.548300878
0,0,0.75,1,1,0.9,0.6,1,0,0.333333333,0.5,0.727272727,0.7,0.583333333,0.583333333,1,0,1,0.545454545,0.25,0.5,0.75,0.5,0.142857143,0.625,0.333333333,0.5,0.5,0.5,0.5,0.5,0.416666667,0,0.454545455,0.166666667,0.416666667,0.444444444,0.666666667,0.5,0.5,0.666666667,0.5,0.75,0.454545455,0.5,0.5,0.5,0.5,0.166666667,0.857142857,0.583333333,0,0.3,0.3,0.416666667,0.166666667,1,0.5,1,0.083333333,1,0,0.333333333,0.5,1,0,0,0,0,0,0,0.067510549,0.688812524
0,0,0.75,1,1,0.9,0.6,1,0,0.333333333,0.5,0.727272727,0.7,0.583333333,0.583333333,1,0,1,0.545454545,0.25,0.5,0.75,0.5,0.142857143,0.625,0.333333333,0.5,0.5,0.5,0.5,0.5,0.416666667,0,0.454545455,0.166666667,0.416666667,0.444444444,0.666666667,0.5,0.5,0.666666667,0.5,0.75,0.454545455,0.5,0.5,0.5,0.5,0.166666667,0.857142857,0.5,0,0.3,0.3,0.416666667,0.166666667,1,0.5,1,0.916666667,1,0,0.333333333,0.5,0,0,0,0,0,0,0,0.067510549,0.687667048
