A8,B8,C8,D8,E8,F8,G8,H8,A7,B7,C7,D7,E7,F7,G7,H7,A6,B6,C6,D6,E6,F6,G6,H6,A5,B5,C5,D5,E5,F5,G5,H5,A4,B4,C4,D4,E4,F4,G4,H4,A3,B3,C3,D3,E3,F3,G3,H3,A2,B2,C2,D2,E2,F2,G2,H2,A1,B1,C1,D1,E1,F1,G1,H1,Active Player,White Kingside Castling Right,White Queenside Castling Right,Black Kingside Castling Right,Black Queenside Castling Right,En passant Target,Halfmove Clock,Fullmove Number,Who is winning
0,2,3,5,6,3,0,4,0,1,0,1,1,1,0,1,0,0,1,4,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,-1,0,0,0,0,0,-5,-1,0,-1,-1,0,0,-1,-1,-4,-2,-3,0,-6,-3,-2,-4,1,1,0,1,1,-1,1,10,248
0,2,3,5,6,3,0,4,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,2,1,0,0,4,0,0,0,0,0,0,0,0,-1,1,0,0,0,-1,0,0,0,0,0,-5,-1,0,-1,-1,0,0,-1,-1,-4,-2,-3,0,-6,-3,-2,-4,-1,1,0,1,1,-1,2,10,-266
0,2,3,5,6,3,0,4,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,2,1,0,0,4,0,0,0,0,0,0,-3,0,-1,1,0,0,0,-1,0,0,0,0,0,-5,-1,0,-1,-1,0,0,-1,-1,-4,-2,-3,0,-6,0,-2,-4,1,1,0,1,1,-1,3,11,280
0,2,3,5,6,3,0,4,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,4,0,2,0,0,0,0,-3,0,-1,1,0,0,0,-1,0,0,0,0,0,-5,-1,0,-1,-1,0,0,-1,-1,-4,-2,-3,0,-6,0,-2,-4,-1,1,0,1,1,-1,4,11,-267
0,2,3,5,6,3,0,4,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,4,-1,2,0,0,0,0,-3,0,0,1,0,0,0,-1,0,0,0,0,0,-5,-1,0,-1,-1,0,0,-1,-1,-4,-2,-3,0,-6,0,-2,-4,1,1,0,1,1,-1,0,12,382
0,2,3,5,6,0,0,4,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,3,1,0,0,4,-1,2,0,0,0,0,-3,0,0,1,0,0,0,-1,0,0,0,0,0,-5,-1,0,-1,-1,0,0,-1,-1,-4,-2,-3,0,-6,0,-2,-4,-1,1,0,1,1,-1,1,12,-294
0,2,3,5,6,0,0,4,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,3,1,0,0,4,-1,2,0,0,0,0,-3,0,0,1,0,0,0,-1,0,0,0,0,0,-5,-1,0,-1,-1,0,-6,-1,-1,-4,-2,-3,0,0,0,-2,-4,1,1,0,0,0,-1,2,13,321
0,2,3,5,0,4,6,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,3,1,0,0,4,-1,2,0,0,0,0,-3,0,0,1,0,0,0,-1,0,0,0,0,0,-5,-1,0,-1,-1,0,-6,-1,-1,-4,-2,-3,0,0,0,-2,-4,-1,0,0,0,0,-1,3,13,-156
0,2,3,5,0,4,6,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,3,1,0,0,4,-1,-5,0,0,0,0,-3,0,0,1,0,0,0,-1,0,0,0,0,0,0,-1,0,-1,-1,0,-6,-1,-1,-4,-2,-3,0,0,0,-2,-4,1,0,0,0,0,-1,0,14,-161
0,2,3,5,4,0,6,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,3,1,0,0,4,-1,-5,0,0,0,0,-3,0,0,1,0,0,0,-1,0,0,0,0,0,0,-1,0,-1,-1,0,-6,-1,-1,-4,-2,-3,0,0,0,-2,-4,-1,0,0,0,0,-1,1,14,-325
